"filename", "language", "D", "C++", "C", "Markdown", "YAML", "XML", "Shell Script", "Python", "JSON", "Objective-C", "Properties", "comment", "blank", "total"
"/home/roman/X11F/source/Xext/xselinux_ext.d", "D", 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 87, 537
"/home/roman/X11F/source/Xext/xselinux_hooks.d", "D", 734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 143, 986
"/home/roman/X11F/source/Xext/xselinux_label.d", "D", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 58, 386
"/home/roman/X11F/source/Xext/xselinuxint.d", "D", 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 32, 553
"/home/roman/X11F/source/Xext/xtest.d", "D", 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 85, 653
"/home/roman/X11F/source/Xext/xvdisp.d", "D", 1022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 254, 1317
"/home/roman/X11F/source/Xext/xvdix_priv.d", "D", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 71
"/home/roman/X11F/source/Xext/xvmain.d", "D", 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 240, 981
"/home/roman/X11F/source/Xext/xvmc.d", "D", 603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 159, 778
"/home/roman/X11F/source/Xi/XIstubs.d", "D", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 43
"/home/roman/X11F/source/Xi/allowev.d", "D", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 10, 110
"/home/roman/X11F/source/Xi/chgdctl.d", "D", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 21, 216
"/home/roman/X11F/source/Xi/chgfctl.d", "D", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 61, 490
"/home/roman/X11F/source/Xi/chgkbd.d", "D", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 8, 82
"/home/roman/X11F/source/Xi/chgkmap.d", "D", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 12, 96
"/home/roman/X11F/source/Xi/chgprop.d", "D", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 16, 124
"/home/roman/X11F/source/Xi/chgptr.d", "D", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 9, 84
"/home/roman/X11F/source/Xi/closedev.d", "D", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 21, 148
"/home/roman/X11F/source/Xi/devbell.d", "D", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 11, 135
"/home/roman/X11F/source/Xi/exevents.d", "D", 2302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 442, 3230
"/home/roman/X11F/source/Xi/exglobals.d", "D", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 11, 86
"/home/roman/X11F/source/Xi/extinit.d", "D", 880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 130, 1170
"/home/roman/X11F/source/Xi/getbmap.d", "D", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 100
"/home/roman/X11F/source/Xi/getdctl.d", "D", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 18, 145
"/home/roman/X11F/source/Xi/getfctl.d", "D", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 35, 314
"/home/roman/X11F/source/Xi/getfocus.d", "D", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 15, 111
"/home/roman/X11F/source/Xi/getkmap.d", "D", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 18, 127
"/home/roman/X11F/source/Xi/getmmap.d", "D", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 15, 103
"/home/roman/X11F/source/Xi/getprop.d", "D", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 21, 151
"/home/roman/X11F/source/Xi/getselev.d", "D", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 20, 144
"/home/roman/X11F/source/Xi/getvers.d", "D", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 13, 97
